case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
bi2se3-topology,sha256:e51b0108362902c14099fe9a0949f4db0c0f98f60825e5fccacbbdc949fa7c67,aflow,"[""aflow""]",succeeded,records_returned,12,12,12,"[[""aflow"",12]]",True,True,complete,,3,3,aflow_short_page,
bi2se3-topology,sha256:e5571d97dced60a049f4c81f1e96e5a5577810e828cdb2182667631105d16072,alexandria,"[""alexandria""]",succeeded,records_returned,22,22,22,"[[""alexandria"",22]]",True,True,complete,,1,,alexandria_next_cursor_absent,
bi2se3-topology,sha256:33f744cd24c85d08fda6105be2fae2a024ebbff8283849ceae14f11f36ac363a,c2db,"[""c2db""]",succeeded,records_returned,1,1,1,"[[""c2db"",1]]",True,True,complete,1,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,
bi2se3-topology,sha256:4eb0a20ebf0df863af385516624e9f7890b0e755d4750642a44e0999a8759a8c,cod,"[""cod""]",succeeded,records_returned,4,4,4,"[[""cod"",4]]",True,True,complete,4,1,,rest_count_matches_json_rows,
bi2se3-topology,sha256:908440727963919e2f1ec3bbfab83731bdaed3ac1500b85217fce1790b1a163f,jarvis_dft,"[""jarvis_dft""]",succeeded,records_returned,2,2,2,"[[""jarvis_dft"",2]]",True,True,complete,2,1,,fixed_snapshot_scanned_to_end,
bi2se3-topology,sha256:415d067ebc50b6cb34adb7bf2d38a3f6a456dcb2202eec2fc45bd2a13e6b2543,materials_project,"[""materials_project""]",succeeded,records_returned,4,4,4,"[[""materials_project"",4]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,
bi2se3-topology,sha256:7d3f855400111e50096013f4e577378cc2688b34d0e00af15637caed22533b99,materialsgalaxy,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",succeeded,records_returned,2,2,2,"[[""materialsgalaxy:topo_crystals"",2]]",True,True,complete,2,1,1,materials_galaxy_total_reconciled,
bi2se3-topology,sha256:e48c4ec362d3577bd196e26793733bcec94221fa25fb14a72347b274dc6e247d,mpds,"[""mpds""]",failed,upstream_access_denied,0,0,0,[],True,True,failed,,0,,,
bi2se3-topology,sha256:44ad3ca4328d7b8b9201aa1ea0209712a209c7b56332dca156db5f2e525ab1c0,nomad,"[""nomad""]",succeeded,records_returned,79,79,79,"[[""nomad"",79]]",True,True,complete,79,1,,nomad_cursor_exhausted,
bi2se3-topology,sha256:4628194c4a7efc28a9fb61133254b55971e33dc348ec2c82059b5ef6609e1a18,optimade:mpddoptimade.phaseslab.org,"[""optimade:mpddoptimade.phaseslab.org""]",failed,upstream_timeout,0,0,0,[],True,True,failed,,0,,,
bi2se3-topology,sha256:5a3699590d18a833a8fe85d7f162a975cf61aeb0511a9141699897ac5dceebb6,optimade:optimade-gnome.odbx.science,"[""optimade:optimade-gnome.odbx.science""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade-gnome.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
bi2se3-topology,sha256:137ba31c90cd72bb20ab22221138791ad2d56163ad8c3f3ca2a77617c388a559,optimade:optimade-misc.odbx.science,"[""optimade:optimade-misc.odbx.science""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade-misc.odbx.science"",3]]",True,True,complete,3,1,https://optimade-misc.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
