case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
lifepo4-stability,optimade:optimade.materialscloud.org/main/stoceriaitf,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/stoceriaitf/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.457281,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/tin-antimony-sulfoiodide/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.332854,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.odbx.science,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.239463,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.openmaterialsdb.se,[],ready,succeeded,complete,records_returned,3,3,3,"[[""optimade:optimade.openmaterialsdb.se"",3]]",True,True,complete,3,1,http://optimade.openmaterialsdb.se/v1/structures,optimade_links_next_absent_for_all_selected_providers,,2449,1.583743,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,oqmd,[],ready,failed,failed,upstream_http_unavailable,0,0,0,[],True,True,,,0,,,,0,31.571472,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=LiFePO4&offset=0\"",\""reason_code\"":\""upstream_http_unavailable\"",\""source\"":\""oqmd\""}"",""reason_code"":""source_warning""}]",service_failure,HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=LiFePO4&offset=0
lifepo4-stability,tcod,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,,rest_count_matches_json_rows,,0,4.264493,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,aflow,[],ready,succeeded,complete,records_returned,12,12,12,"[[""aflow"",12]]",True,True,complete,,3,3,aflow_short_page,,35638,8.587084,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,alexandria,[],ready,succeeded,complete,records_returned,22,22,22,"[[""alexandria"",22]]",True,True,complete,,1,,alexandria_next_cursor_absent,,48467,3.713426,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,c2db,[],ready,succeeded,complete,records_returned,1,1,1,"[[""c2db"",1]]",True,True,complete,1,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,,3425,3.762031,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,cod,[],ready,succeeded,complete,records_returned,4,4,4,"[[""cod"",4]]",True,True,complete,4,1,,rest_count_matches_json_rows,,6409,4.167373,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,jarvis_dft,[],ready,succeeded,complete,records_returned,2,2,2,"[[""jarvis_dft"",2]]",True,True,complete,2,1,,fixed_snapshot_scanned_to_end,,16122,1.950672,10000,10000,300.0,1000000000,0,[],,
bi2se3-topology,materials_project,[],ready,succeeded,complete,records_returned,4,4,4,"[[""materials_project"",4]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,,27126,1.317398,10000,10000,300.0,1000000000,0,[],,
